"File","Path","LineNum","Text","Priority","Category"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","983","Company Name","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","606","Company Name","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","1287","Compliance Confirmations","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","1313","Confirm New Password","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","980","Current City","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","880","Current City","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","864","Current Country of Residence","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","964","Current Country of Residence","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","380","CV Format","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","730","CV Format","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","480","Date of Birth","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","1166","Degree","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","793","Degree","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","704","Description","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","1081","Description","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","832","Duration","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","999","Duration","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","622","Duration","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","1205","Duration","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","1223","Education","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","577","Email Address","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","1075","Email Address","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","648","Employment Status","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","1052","End","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","675","End","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","1205","Experience","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","362","Expiry Date","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","282","Expiry Date","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","928","Expiry Date","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","1179","Field of Study","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","806","Field of Study","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","454","First Name","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","498","Gender","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","684","I currently work here","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","1061","I currently work here","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","1175","Industry","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","687","Industry","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","227","Intro Video","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","923","Issue Date","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","357","Issue Date","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","278","Issue Date","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","352","Issuing Organisation","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","918","Issuing Organisation","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","274","Issuing Organisation","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","661","Job Title","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","614","Job Title","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","991","Job Title","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","469","Language","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","816","Language","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","461","Languages","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","467","Last Name","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","719","LinkedIn URL","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","367","LinkedIn URL","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","1186","Location","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","691","Location","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","1068","Location","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","819","Location","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","1192","Location","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","512","Marital Status","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","913","Name","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","270","Name","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","347","Name","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","344","New Certificate","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","1295","New Password","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","335","No certificates","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","372","No Expiry","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","289","No Expiry","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","937","No Expiry","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","200","No resume","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","235","No video","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","674","Occupation","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","911","Passport","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","1011","Passport","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","1032","Passport Nationality","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","1020","Passport Nationality","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","920","Passport Nationality","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","932","Passport Nationality","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","433","PDF preview is not available inline.","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","219","Pending","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","184","Pending","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","522","Phone","MEDIUM","Label"
"candidate-register.component.html","frontend\src\app\features\admin\candidate-register\candidate-register.component.html","719","Please specify","MEDIUM","Label"
"candidate-edit.component.html","frontend\src\app\features\admin\candidate-edit\candidate-edit.component.html","749","Please specify","MEDIUM","Label"
